"Subject"	"X1.a_Debrief"	"X1.b_Debrief"	"X1.c_Debrief"	"X1.d_Debrief"	"X1.e_Debrief"	"X2.a_Debrief"	"X2.b_Debrief"	"X2.c_Debrief"	"X2.d_Debrief"	"X2.e_Debrief"	"X2.f_Debrief"	"X2.g_Debrief"	"X2.h_Debrief"	"Game.play.affect.distraction.time_Debrief"	"Surprise_Debrief"	"Suspected_Debrief"	"Entrant_Debrief"	"Entrant_Distraction_Assignment"	"Entrant_Note_sheet"	"Entrant_Post-Questionnaire"	"Entrant_Writing_Task_Evaluation"	"Assignment_Distraction_Assignment"	"Date_Note_sheet"	"Time_Note_sheet"	"RA_Note_sheet"	"Station_Note_sheet"	"Condition_Note_sheet"	"Game.1_Note_sheet"	"Game.2_Note_sheet"	"Game.3_Note_sheet"	"Game.4_Note_sheet"	"Game.5_Note_sheet"	"Game.6_Note_sheet"	"Good.Session_Note_sheet"	"irritated_Post-Questionnaire"	"happy_Post-Questionnaire"	"angered_Post-Questionnaire"	"helpful_Post-Questionnaire"	"pleased_Post-Questionnaire"	"annoyed_Post-Questionnaire"	"knew.others_Post-Questionnaire"	"knew.partner_Post-Questionnaire"	"easy.nav_Post-Questionnaire"	"excited_Post-Questionnaire"	"engaged_Post-Questionnaire"	"challenging_Post-Questionnaire"	"stressful_Post-Questionnaire"	"violence_Post-Questionnaire"	"diff.nav_Post-Questionnaire"	"reflexes_Post-Questionnaire"	"satisfying_Post-Questionnaire"	"effective_Post-Questionnaire"	"difficult_Post-Questionnaire"	"good.fight_Post-Questionnaire"	"hard.control_Post-Questionnaire"	"mental.effort_Post-Questionnaire"	"comfort.control_Post-Questionnaire"	"exhausting_Post-Questionnaire"	"aggressed_Post-Questionnaire"	"enjoyed_Post-Questionnaire"	"often.played_Post-Questionnaire"	"FPS.experience_Post-Questionnaire"	"FPS.skill_Post-Questionnaire"	"mkb.experience_Post-Questionnaire"	"vg.freq_Post-Questionnaire"	"vg.cumul_Post-Questionnaire"	"gender_Post-Questionnaire"	"age_Post-Questionnaire"	"race_Post-Questionnaire"	"year_Post-Questionnaire"	"GPA_Post-Questionnaire"	"A_Writing_Task_Evaluation"	"B_Writing_Task_Evaluation"	"C_Writing_Task_Evaluation"	"D_Writing_Task_Evaluation"	"E_Writing_Task_Evaluation"	"F_Writing_Task_Evaluation"	"L2d4d_"	"R2d4d_"	"L_ring_length_"	"L_ring_angle_"	"L_index_length_"	"L_index_angle_"	"R_index_length_"	"R_index_angle_"	"R_ring_length_"	"R_ring_angle_"	"nCoders_"	"Violence"	"Difficulty"
"122"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"4"	"AM"	"CH"	"AM"	"CH"	"CH"	"4"	"41945"	"0.5"	"Mallory "	"2"	"2"	"1"	"291"	"9"	"1172"	"58"	"61"	"Yes"	"4"	"4"	"4"	"4"	"4"	"4"	"No"	"No"	"7"	"5"	"6"	"1"	"1"	"5"	"1"	"3"	"6"	"7"	"2"	"3"	"2"	"3"	"6"	"3"	"2"	"6"	"7"	"7"	"7"	"7"	"7"	"7"	"M"	"19"	"3"	"1"	"3"	"7"	"2"	"5"	"8"	"-5"	"5"	"0.917441620169457"	"0.902311819868612"	"967.8"	"82.29"	"887.9"	"86.255"	"899.65"	"83.3"	"997.05"	"84.945"	"1"	"Violent"	"Hard"
"123"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"Yes"	"No"	"2"	"AM"	"CH"	"AM"	"CH"	"CH"	"5"	"41945"	"0.5"	"JH"	"4"	"3"	"0"	"404"	"14"	"1319"	"157"	"0"	"Yes"	"5"	"2"	"1"	"1"	"2"	"5"	"No"	"No"	"7"	"5"	"4"	"1"	"1"	"2"	"1"	"3"	"7"	"7"	"3"	"1"	"1"	"1"	"7"	"1"	"1"	"5"	"6"	"6"	"5"	"7"	"7"	"7"	"M"	"18"	"5"	"1"	"3.5"	"-1"	"-8"	"-7"	"0"	"-9"	"-7"	"1.02631578947368"	"0.99759293928858"	"932.9"	"85.915"	"957.45"	"85.175"	"932.5"	"82.515"	"934.75"	"87.17"	"1"	"Nonviolent"	"Easy"
"124"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"2"	"AM"	"AM"	"AM"	"AM"	"AM"	"9"	"41948"	"0.708333333333333"	"Mallory "	"2"	"4"	"0"	"298"	"10"	"1061"	"91"	"35"	"Yes"	"5"	"1"	"2"	"1"	"1"	"2"	"No"	"No"	"7"	"4"	"7"	"2"	"1"	"4"	"1"	"6"	"4"	"3"	"4"	"5"	"2"	"2"	"7"	"1"	"5"	"4"	"7"	"7"	"7"	"6"	"6"	"7"	"M"	"19"	"2"	"2"	"2.5"	"3"	"4"	"-4"	"8"	"6"	"3"	"0.957056807560494"	"0.959124928036845"	"962.9"	"85.565"	"921.55"	"86.74"	"916.3"	"86.935"	"955.35"	"87.665"	"1"	"Nonviolent"	"Hard"
"125"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"2"	"AM"	"AM"	"AM"	"AM"	"AM"	"8"	"41948"	"0.75"	"JC"	"4"	"1"	"0"	"305"	"22"	"631"	"183"	"0"	"Yes"	"4"	"2"	"4"	"1"	"2"	"4"	"No"	"No"	"7"	"6"	"5"	"1"	"1"	"4"	"2"	"2"	"7"	"6"	"2"	"1"	"2"	"2"	"6"	"1"	"4"	"6"	"5"	"5"	"4"	"3"	"4"	"5"	"M"	"18"	"2"	"1"	"3.2"	"4"	"6"	"7"	"8"	"7"	"6"	"1.00667834983186"	"1.00404799768686"	"1055.65"	"82.46"	"1062.7"	"89.085"	"1041.75"	"87.885"	"1037.55"	"80.135"	"1"	"Violent"	"Easy"
"126"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"2"	"AM"	"AM"	"AM"	"AM"	"AM"	"4"	"41949"	"0.635416666666667"	"Danielle"	"4"	"2"	"2"	"315"	"9"	"1244"	"110"	"68"	"Yes"	"4"	"4"	"5"	"3"	"2"	"4"	"Yes"	"No"	"7"	"6"	"7"	"7"	"7"	"7"	"2"	"6"	"7"	"7"	"5"	"5"	"2"	"6"	"6"	"4"	"6"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"M"	"20"	"2"	"2"	"3.3"	"5"	"8"	"8"	"7"	"7"	"7"	"0.941801819620253"	"0.927852104110922"	"1011.2"	"88.84"	"952.35"	"88.525"	"953.6"	"84.675"	"1027.75"	"88.86"	"1"	"Violent"	"Hard"
"127"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"No"	"No"	"1"	"AM"	"AM"	"AM"	"AM"	"AM"	"4"	"41949"	"0.635416666666667"	"JC"	"2"	"3"	"0"	"572"	"19"	"3485"	"25"	"0"	"Yes"	"2"	"4"	"4"	"1"	"4"	"4"	"No"	"No"	"7"	"3"	"5"	"1"	"1"	"2"	"1"	"1"	"4"	"7"	"1"	"1"	"1"	"1"	"7"	"1"	"2"	"4"	"2"	"7"	"7"	"7"	"6"	"7"	"M"	"20"	"5"	"3"	"3.2"	"6"	"2"	"3"	"5"	"3"	"4"	"0.934371892608552"	"0.907617504051864"	"905.1"	"87.945"	"845.7"	"76.705"	"840"	"76.855"	"925.5"	"89.535"	"1"	"Nonviolent"	"Easy"
"128"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"1"	"AM"	"AM"	"AM"	"AM"	"AM"	"9"	"41949"	"0.677083333333333"	"Danielle"	"4"	"4"	"4"	"232"	"3"	"1043"	"47"	"86"	"Yes"	"7"	"1"	"5"	"1"	"1"	"5"	"No"	"No"	"3"	"4"	"5"	"6"	"3"	"1"	"5"	"5"	"4"	"4"	"4"	"5"	"5"	"5"	"3"	"3"	"6"	"5"	"2"	"3"	"1"	"3"	"1"	"1"	"M"	"19"	"5"	"1"	"3.6"	"-2"	"-5"	"-4"	"5"	"5"	"2"	"1.02792553191489"	"1.02546256017632"	"902.4"	"88.45"	"927.6"	"81.975"	"884"	"86.75"	"862.05"	"84.445"	"1"	"Nonviolent"	"Hard"
"129"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"No"	"No"	"5"	"AM"	"AM"	"AM"	"AM"	"AM"	"3"	"41949"	"0.71875"	"JC"	"2"	"1"	"0"	"220"	"22"	"751"	"67"	"0"	"No"	"5"	"6"	"2"	"1"	"3"	"5"	"No"	"No"	"7"	"1"	"1"	"1"	"1"	"5"	"1"	"1"	"6"	"5"	"1"	"1"	"1"	"2"	"7"	"1"	"4"	"3"	"6"	"7"	"7"	"7"	"7"	"7"	"M"	"19"	"5"	"2"	"2.3"	"5"	"-2"	"-6"	"10"	"2"	"5"	"0.968032295019366"	"0.957686731461096"	"916.55"	"89.345"	"887.25"	"82.72"	"891.75"	"88.715"	"931.15"	"84.3"	"1"	"Violent"	"Easy"
"13"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"Maybe"	"No"	"2"	"AM"	"CH"	"AM"	"AM"	"CH"	"3"	"41544"	"0.583333333333333"	"Melissa"	"4"	"1"	"0"	"375"	"13"	"380"	"215"	"0"	"No"	"6"	"2"	"6"	"1"	"1"	"4"	"Yes"	"Yes"	"6"	"6"	"4"	"1"	"1"	"6"	"1"	"1"	"4"	"5"	"2"	"2"	"1"	"4"	"4"	"5"	"4"	"5"	"2"	"7"	"6"	"6"	"6"	"7"	"M"	"19"	"6 \"Chinese\""	"2"	"3.7"	"1"	"6"	"4"	"5"	"5"	"5"	"0.972574850299401"	"0.962858153519632"	"835"	"83.12"	"812.1"	"88.94"	"816.6"	"87.82"	"848.1"	"85.13"	"1"	"Violent"	"Easy"
"130"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"Maybe"	"Yes"	"2"	"AM"	"AM"	"AM"	"AM"	"AM"	"9"	"41950"	"0.645833333333333"	"SC"	"2"	"2"	"0"	"345"	"11"	"937"	"133"	"53"	"Yes"	"6"	"2"	"4"	"1"	"2"	"6"	"No"	"No"	"7"	"6"	"6"	"5"	"5"	"7"	"2"	"5"	"5"	"6"	"3"	"2"	"1"	"5"	"7"	"2"	"1"	"7"	"5"	"6"	"6"	"7"	"5"	"7"	"M"	"19"	"5"	"1"	"3"	"7"	"3"	"3"	"6"	"5"	"5"	"0.902750703920295"	"0.905353319057816"	"923.4"	"81.41"	"833.6"	"89.11"	"845.6"	"89.015"	"934"	"81.63"	"1"	"Violent"	"Hard"
"131"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"Maybe"	"3"	"AM"	"AM"	"AM"	"AM"	NA	"1"	"41950"	"0.645833333333333"	"MN"	"4"	"3"	"0"	"472"	"16"	"1022"	"280"	"0"	"Maybe"	"4"	"4"	"5"	"3"	"4"	"5"	"No"	"No"	"7"	"2"	"3"	"2"	"2"	"1"	"2"	"2"	"4"	"3"	"2"	"1"	"2"	"1"	"5"	"2"	"4"	"3"	"3"	"6"	"6"	"6"	"4"	"4"	"M"	"18"	"5"	"1"	"3"	NA	NA	NA	NA	NA	NA	"0.95325460038451"	"0.939723482157495"	"910.25"	"84.5"	"867.7"	"86.185"	"859.8"	"87.82"	"914.95"	"85.205"	"1"	"Nonviolent"	"Easy"
"132"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"No"	"No"	"4"	"AM"	"AM"	"AM"	"AM"	"AM"	"6"	"41950"	"0.6875"	"SC"	"2"	"4"	"0"	"476"	"15"	"1674"	"158"	"55"	"Yes"	"4"	"4"	"4"	"1"	"7"	"4"	"No"	"No"	"7"	"7"	"7"	"1"	"1"	"2"	"1"	"5"	"7"	"7"	"1"	"1"	"1"	"5"	"7"	"2"	"1"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"M"	"18"	"5"	"1"	"4"	"5"	"2"	"6"	"7"	"8"	"6.5"	"1.00125291873113"	"0.987602141448295"	"877.95"	"85.34"	"879.05"	"86.6"	"876.25"	"86.51"	"887.25"	"87.365"	"1"	"Nonviolent"	"Hard"
"133"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"Maybe"	"No"	"4"	"AM"	"AM"	"AM"	"AM"	"AM"	"9"	"41950"	"0.6875"	"MN"	"4"	"1"	"0"	"402"	"13"	"1193"	"164"	"0"	"Maybe"	"7"	"1"	"5"	"1"	"1"	"5"	"No"	"No"	"7"	"7"	"7"	"1"	"1"	"5"	"1"	"3"	"6"	"5"	"2"	"1"	"1"	"1"	"7"	"1"	"5"	"7"	"2"	"7"	"3"	"3"	"3"	"5"	"M"	"18"	"5"	"1"	"4"	"5"	"1"	"-3"	"7"	"1"	"0"	"0.972943498130453"	"0.916758544652701"	"962.8"	"79.955"	"936.75"	"85.255"	"914.65"	"89.06"	"997.7"	"80.47"	"1"	"Violent"	"Easy"
"134"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"Maybe"	"No"	"3"	"AM"	"AM"	"AM"	"AM"	"AM"	"3"	"41950"	"0.729166666666667"	"SC"	"2"	"2"	"1"	"234"	"9"	"973"	"103"	"74"	"Maybe"	"6"	"1"	"4"	"1"	"1"	"6"	"No"	"No"	"7"	"5"	"6"	"2"	"1"	"5"	"1"	"5"	"6"	"6"	"5"	"5"	"3"	"2"	"6"	"1"	"4"	"6"	"5"	"5"	"5"	"4"	"3"	"5"	"M"	"19"	"5"	"2"	"3"	"5"	"-3"	"5"	"4"	"4"	"4"	"0.913285241959723"	"0.923350355462101"	"998.1"	"84.195"	"911.55"	"86.905"	"922.15"	"88.975"	"998.7"	"81.795"	"1"	"Violent"	"Hard"
"135"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"1"	"AM"	"AM"	"AM"	"AM"	NA	"9"	"41950"	"0.729166666666667"	"MN"	"4"	"3"	"0"	"116"	"22"	"190"	"72"	"0"	"Yes"	"6"	"1"	"5"	"1"	"1"	"6"	"No"	"No"	"6"	"3"	"4"	"2"	"5"	"2"	"4"	"3"	"5"	"7"	"2"	"1"	"2"	"2"	"6"	"6"	"5"	"3"	"2"	"7"	"7"	"2"	"6"	"7"	"M"	"18"	"2"	"1"	"3.8"	NA	NA	NA	NA	NA	NA	"0.945443184003077"	"0.943025258323766"	"1040.2"	"88.845"	"983.45"	"83.295"	"985.65"	"88.89"	"1045.2"	"81.995"	"1"	"Nonviolent"	"Easy"
"136"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Maybe"	"2"	"AM"	"AM"	"AM"	"AM"	"AM"	"7"	"41952"	"0.5"	"Rachel Peterson"	"4"	"4"	"3"	"272"	"6"	"1201"	"63"	"57"	"Yes"	"4"	"4"	"5"	"3"	"4"	"5"	"No"	"No"	"6"	"4"	"5"	"2"	"3"	"2"	"2"	"4"	"4"	"4"	"3"	"4"	"5"	"4"	"5"	"2"	"2"	"4"	"2"	"5"	"5"	"2"	"6"	"6"	"M"	"19"	"5"	"2"	"2.2"	"5"	"-2"	"2"	"5"	"0"	"4"	"0.95361185669273"	"0.952850432059386"	"856.9"	"84.575"	"817.15"	"85.825"	"821.5"	"89.79"	"862.15"	"84.95"	"1"	"Nonviolent"	"Hard"
"137"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"No"	"No"	"4"	"AM"	"AM"	"AM"	"AM"	"AM"	"7"	"41952"	"0.5"	"Mallory"	"2"	"1"	"0"	"421"	"16"	"791"	"239"	"0"	"Yes"	"6"	"3"	"5"	"1"	"3"	"5"	"No"	"No"	"7"	"7"	"6"	"1"	"1"	"6"	"1"	"2"	"6"	"7"	"1"	"1"	"1"	"1"	"7"	"1"	"2"	"6"	"6"	"6"	"6"	"5"	"6"	"6"	"M"	"19"	"5"	"1"	"3.97"	"3"	"-1"	"0"	"1"	"1"	"3"	"0.959685021904287"	"0.957740035454909"	"901.65"	"86.125"	"865.3"	"83.205"	"837.4"	"84.505"	"874.35"	"84.67"	"1"	"Violent"	"Easy"
"138"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"No"	"No"	"4"	"AM"	"AM"	"AM"	"AM"	"AM"	"5"	"41952"	"?"	"Rachel Peterson"	"2"	"2"	"2"	"277"	"4"	"1141"	"85"	"98"	"No"	"5"	"2"	"4"	"1"	"2"	"5"	"No"	"No"	"7"	"7"	"7"	"7"	"2"	"6"	"2"	"5"	"6"	"6"	"4"	"6"	"2"	"7"	"7"	"2"	"2"	"7"	"7"	"7"	"4"	"7"	"4"	"6"	"M"	"22"	"5"	"4"	"2.75"	"7"	"2"	"7"	"8"	"1"	"4"	"0.93928412132025"	"0.904635901778154"	"896.8"	"88.705"	"842.35"	"82.185"	"854.7"	"83.08"	"944.8"	"87.66"	"1"	"Violent"	"Hard"
"139"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"Maybe"	"No"	"2"	"AM"	"AM"	"AM"	"AM"	"AM"	"9"	"41954"	"0.708333333333333"	"Danielle"	"4"	"3"	"0"	"525"	"19"	"946"	"360"	"0"	"Yes"	"6"	"2"	"3"	"1"	"1"	"7"	"No"	"No"	"7"	"6"	"7"	"1"	"1"	"4"	"1"	"1"	"6"	"5"	"4"	"1"	"1"	"2"	"7"	"1"	"7"	"7"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"-1"	"-1"	"-1"	"0"	"-5"	"-1"	"0.958758700696056"	"0.961821021576908"	"862"	"88.095"	"826.45"	"85.175"	"831.35"	"81.875"	"864.35"	"88.52"	"1"	"Nonviolent"	"Easy"
"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"5"	"AM"	"CH"	"AM"	"AM"	"CH"	"4"	"41544"	"0.583333333333333"	"Stephen"	"2"	"2"	"2"	"183"	"3"	"712"	"73"	"57"	"No"	"1"	"4"	"4"	"4"	"4"	"4"	"No"	"No"	"5"	"3"	"4"	"4"	"4"	"5"	"5"	"5"	"2"	"6"	"1"	"2"	"6"	"2"	"5"	"1"	"6"	"4"	"1"	"4"	"2"	"1"	"2"	"4"	"M"	"22"	"6 \"Middle Eastern\""	"4"	"3"	"3"	"-7"	"2"	"3"	"-3"	"1"	"0.911433172302738"	"0.906589595375723"	"869.4"	"86.74"	"792.4"	"79.46"	"784.2"	"77.63"	"865"	"85.23"	"1"	"Violent"	"Hard"
"140"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"Maybe"	"No"	"3"	"AM"	"AM"	"AM"	"AM"	NA	"1"	"41954"	"0.708333333333333"	"JC"	"2"	"4"	"14"	"304"	"11"	"1043"	"60"	"150"	"Maybe"	"4"	"4"	"5"	"3"	"4"	"5"	"No"	"No"	"5"	"3"	"3"	"4"	"2"	"2"	"2"	"5"	"4"	"4"	"3"	"5"	"3"	"2"	"3"	"2"	"3"	"2"	"5"	"6"	"5"	"3"	"3"	"5"	"M"	"19"	"5"	"2"	"3"	NA	NA	NA	NA	NA	NA	"0.968419759154584"	"0.968658536585366"	"813.8"	"81.62"	"788.1"	"71.43"	"794.3"	"73.73"	"820"	"86.535"	"1"	"Nonviolent"	"Hard"
"141"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"3"	"AM"	"AM"	"AM"	"AM"	"AM"	"7"	"41954"	"0.75"	"Danielle"	"4"	"1"	"0"	"440"	"15"	"1323"	"167"	"0"	"Yes"	"3"	"3"	"2"	"1"	"3"	"2"	"No"	"No"	"7"	"4"	"4"	"1"	"1"	"4"	"1"	"1"	"4"	"5"	"2"	"1"	"3"	"3"	"6"	"1"	"2"	"5"	"5"	"7"	"6"	"3"	"2"	"5"	"M"	"18"	"5"	"1"	"3.7"	"8"	"6"	"8"	"10"	"8"	"7"	"0.947417349369589"	"1.0136690647482"	"860.55"	"89.435"	"815.3"	"80.255"	"845.4"	"75.795"	"834"	"88.04"	"1"	"Violent"	"Easy"
"142"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"Maybe"	"Yes"	"1"	"AM"	"AM"	"AM"	NA	NA	"6"	"41954"	"0.75"	"JC"	"2"	"2"	"4"	"290"	"6"	"1203"	"87"	"87"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0.966088375748051"	"0.954673390406943"	"827.15"	"88.89"	"799.1"	"83.855"	"814.05"	"83.995"	"852.7"	"85.23"	"1"	"Violent"	"Hard"
"143"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"No"	"No"	"4"	"AM"	"AM"	"AM"	NA	"AM"	"1"	"41955"	"0.708333333333333"	"Mallory"	"2"	"3"	"0"	"522"	"17"	"924"	"274"	"0"	"Maybe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4"	"4"	"1"	"3"	"5"	"5"	"0.933439575033201"	"0.93801119242359"	"941.25"	"87.105"	"878.6"	"84.485"	"871.6"	"81.72"	"929.2"	"88.89"	"1"	"Nonviolent"	"Easy"
"144"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"1"	"AM"	"AM"	"AM"	NA	"AM"	"9"	"41955"	"0.708333333333333"	"JC"	"4"	"4"	"0"	"295"	"9"	"1131"	"70"	"36"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9"	"5"	"7"	"10"	"9"	"8"	"0.959173185633529"	"0.963242115027829"	"875.65"	"89.185"	"839.9"	"84.465"	"830.7"	"78.16"	"862.4"	"80.895"	"1"	"Nonviolent"	"Hard"
"145"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"Yes"	"2"	"AM"	"AM"	"AM"	NA	"AM"	"9"	"41955"	"0.75"	"JC"	"4"	"1"	"0"	"548"	"21"	"220"	"363"	"0"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7"	"4"	"6"	"8"	"4"	"6"	"1.02296317773268"	"0.965017209276082"	"862.25"	"82.625"	"882.05"	"89.415"	"855.15"	"87.85"	"886.15"	"80.16"	"1"	"Violent"	"Easy"
"146"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"Maybe"	"Yes"	"3"	"AM"	"AM"	"AM"	NA	"AM"	"9"	"41956"	"0.635416666666667"	"Danielle"	"4"	"2"	"2"	"283"	"8"	"1071"	"104"	"82"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6"	"6"	"5"	"6"	"6"	"5"	"0.964764542936288"	"0.956512261580381"	"902.5"	"82.035"	"870.7"	"88.94"	"877.6"	"89.185"	"917.5"	"88.125"	"1"	"Violent"	"Hard"
"147"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"No"	"No"	"5"	"AM"	"AM"	"AM"	NA	"AM"	"9"	"41956"	"0.635416666666667"	"JC"	"2"	"3"	"0"	"371"	"12"	"245"	"357"	"0"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6"	"2"	"5"	"8"	"0"	"6"	"0.940024197730022"	"0.950844062947067"	"867.85"	"87.59"	"815.8"	"80.44"	"830.8"	"82.145"	"873.75"	"87.675"	"1"	"Nonviolent"	"Easy"
"148"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"4"	"AM"	"AM"	"AM"	NA	"AM"	"6"	"41956"	"0.677083333333333"	"Danielle"	"4"	"4"	"0"	"364"	"12"	"1889"	"41"	"65"	"Maybe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0"	"3"	"5"	"8"	"8"	"6"	"0.988490028490028"	"1.01575702215118"	"877.5"	"87.98"	"867.4"	"76.94"	"889.6"	"78.92"	"875.8"	"87.51"	"1"	"Nonviolent"	"Hard"
"149"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"Yes"	"5"	"AM"	"AM"	"AM"	NA	"AM"	"9"	"41956"	"0.71875"	"Danielle "	"4"	"1"	"0"	"463"	"15"	"2140"	"97"	"0"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8"	"9"	"10"	"10"	"5"	"8"	"0.950791950848317"	"0.979326537624556"	"887.05"	"78.535"	"843.4"	"80.995"	"855.05"	"89.43"	"873.1"	"81.52"	"1"	"Violent"	"Easy"
"15"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"Maybe"	"No"	"4"	"AM"	"CH"	"AM"	"AM"	"CH"	"4"	"41545"	"0.502083333333333"	"Mallory "	"2"	"3"	"0"	"202"	"22"	"425"	"100"	"0"	"Maybe"	"4"	"2"	"4"	"1"	"1"	"4"	"Yes"	"Yes"	"7"	"3"	"2"	"2"	"1"	"5"	"2"	"1"	"4"	"3"	"2"	"1"	"2"	"2"	"7"	"1"	"3"	"4"	"5"	"7"	"6"	"6"	"5"	"6"	"M"	"19"	"5"	"1"	"3.9"	"0"	"-7"	"0"	"7"	"5"	"3"	"0.950840579710145"	"0.902690829214717"	"862.5"	"85.68"	"820.1"	"81.45"	"821.9"	"84.41"	"910.5"	"88.05"	"1"	"Nonviolent"	"Easy"
