"Subject"	"1.a"	"1.b"	"1.c"	"1.d"	"1.e"	"2.a"	"2.b"	"2.c"	"2.d"	"2.e"	"2.f"	"2.g"	"2.h"	"Game.affect.distraction"	"Surprise"	"Suspected"	"Why "	"Entrant"	"Assignment"	"Entrant"	"Date"	"Time"	"RA"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"Good.Session"	"Notes"	"Entrant"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"knew.others"	"knew.partner"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"gender"	"age"	"race"	"year"	"GPA"	"Entrant"	"A"	"B"	"C"	"D"	"E"	"F"	"Entrant"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_ring_length"	"R_ring_angle"	"R_index_length"	"R_index_angle"	"notes"	"coder"	"Violence"	"Difficulty"
"18"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"4"	"based on the others grading of our essay, after plaing a violent video game, to see if we would be violent in our distraction level giving"	"AM"	"4"	"CH"	"9/?"	"0.58333333333333337"	"JH"	"4"	"2"	"0"	"354"	"11"	"1264"	"103"	"73"	"Maybe"	"Judging was suspicious"	"AM"	"6"	"2"	"3"	"1"	"2"	"5"	"No"	"No"	"7"	"7"	"7"	"3"	"2"	"6"	"2"	"2"	"6"	"6"	"3"	"5"	"3"	"2"	"7"	"2"	"3"	"7"	"4"	"7"	"7"	"6"	"6"	"7"	"M"	"19"	"5"	"2"	"3.2"	"AM"	"3"	"4"	"5"	"8"	"7"	"7"	"CH"	"0.985921889191644"	"0.915449566408033"	"880.8"	"79.47"	"868.4"	"88.35"	"876.4"	"88.3"	"802.3"	"84.06"	NA	"Julian"	"Violent"	"Hard"
"180"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"2"	"After we saw each others opinions it could affect how we feel about one another"	"AM"	"7"	"AM"	"1417651200"	"0.21875"	"JC"	"2"	"4"	"1"	"396"	"16"	"1936"	"41"	"67"	"Yes"	"He was convinced"	"TH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"2"	"0"	"2"	"7"	"6"	"4"	"AM"	"1.0084440521483"	"1.03597564932167"	"917.8"	"81.48"	"925.55"	"89.32"	"889.4"	"78.655"	"921.25"	"82.5"	"NA, NA"	"Rachel, Taylor"	"Nonviolent"	"Hard"
"181"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"2"	"To guage how aggrivated was at this guys \"view\" on my topic"	"AM"	"9"	"AM"	"1417737600"	"0.14583333333333334"	"MN"	"4"	"1"	"0"	"455"	"16"	"1094"	"219"	"0"	"Yes"	"No suspicions, did not know what was being studied"	"TH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5"	"4"	"2"	"-5"	"-5"	"0"	"AM"	"0.996640167253785"	"0.991632204048227"	"969.45"	"82.055"	"966.15"	"89.11"	"954.15"	"85.375"	"946.15"	"86.12"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Easy"
"182"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"No"	"No"	"3"	"To see if the video game as opposed to frustrating responses caused aggresssion"	"AM"	"1"	"AM"	"1417737600"	"0.14583333333333334"	"SC"	"2"	"2"	"0"	"228"	"8"	"924"	"98"	"56"	"Yes"	"What study? \"I don't know\" Weird/off?: Response to his essay was out of place"	"TH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0"	"-8"	"-4"	"8"	"2"	"3"	"AM"	"0.960285299745833"	"0.945693409406123"	"874.2"	"80.035"	"839.5"	"89.725"	"889.6"	"85.62"	"841.3"	"84.54"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Hard"
"183"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"Yes"	"No"	"2"	"As an other form of distraction. The essay grading was before we set distraction. This influenced our views on each other. "	"TG"	"9"	"JC"	"1392681600"	"0.125"	"RP"	"4"	"3"	"0"	"309"	"22"	"1570"	"83"	"0"	"Yes"	NA	"TH"	"5"	"4"	"5"	"1"	"2"	"2"	"No"	"No"	"7"	"1"	"2"	"1"	"1"	"2"	"7"	"1"	"4"	"3"	"5"	"1"	"1"	"1"	"7"	"1"	"4"	"5"	"2"	"5"	"5"	"5"	"5"	"6"	"M"	"20"	"5"	"2"	"2.4"	"TG"	"-1"	"-1"	"1"	"4"	"-1"	"2"	"TG"	"0.990077535696278"	"0.977423135015188"	"896.7"	"88.94"	"887.8"	"83.73"	"900.9"	"85.03"	"880.545"	"78.735"	"NA, NA"	"Rachel, Taylor"	"Nonviolent"	"Easy"
"184"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"No"	"Maybe"	"2"	"To understand how we punish the other person (or not) the comments "	"TG"	"9"	"JC"	"1392681600"	"(?) On same sheet"	"RP"	"4"	"4"	"8"	"425"	"11"	"1231"	"161"	"140"	"Maybe"	"Once I asked to set distraction time he was a little suspicious"	"TH"	"7"	"1"	"5"	"1"	"1"	"7"	"No"	"No"	"7"	"6"	"7"	"5"	"4"	"5"	"5"	"6"	"4"	"6"	"5"	"5"	"2"	"5"	"7"	"5"	"2"	"7"	"2"	"7"	"7"	"7"	"5"	"7"	"M"	"19"	"2"	"1"	"2.8"	"TG"	"4"	"9"	"3"	"10"	"3"	"6"	"TG"	"0.961134403835615"	"0.946684795015243"	"939.85"	"81.93"	"903.3"	"81.98"	"945"	"86.785"	"894.55"	"78.49"	"NA, NA"	"Rachel, Taylor"	"Nonviolent"	"Hard"
"185"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"Maybe"	"Mabye"	"2"	"Mabye othe person's evaluation could have affected"	"TG"	"5"	"JC"	"1392681600"	"0.16666666666666666"	"JC"	"2"	"1"	"0"	"412"	"14"	"724"	"243"	"0"	"Yes"	NA	"TH"	"6"	"1"	"4"	"1"	"1"	"2"	"No"	"No"	"7"	"5"	"5"	"1"	"4"	"7"	"1"	"1"	"6"	"7"	"1"	"1"	"1"	"1"	"6"	"4"	"3"	"5"	"3"	"7"	"5"	"5"	"5"	"6"	"M"	"19"	"1"	"1"	"3.5"	"TG"	"9"	"8"	"8"	"9"	"9"	"9"	"TG"	"0.942240641986735"	"0.944188188223958"	"984.95"	"84.585"	"928"	"82.02"	"978.3"	"85.28"	"923.7"	"77.56"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Easy"
"186"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1392681600"	"0.26041666666666669"	"DT"	"4"	"2"	"0"	"344"	"11"	"769"	"157"	"80"	"Yes"	"Didn't have a pseudo participant to fill in till 15 minutes later, participant contantly talked and asked q's trying to figure out experiment throughout whole session. Also, fridge was locked so couldn't get cold water. Still fully believed other participant had to put hand in water (sticky not attached with numbers 63, 120, 179)"	"TH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7"	"6"	"6"	"8"	"5"	"7"	"TG"	"0.95824408562589"	"0.964641453147454"	"924.85"	"87.55"	"886.25"	"85.04"	"932.05"	"89.445"	"899.1"	"79.49"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Hard"
"187"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No"	"Yes"	"4"	"Based on their response to our essay. We would assign them a longer time if we did not like their response."	"TG"	"9"	"JC"	"1392768000"	"0.41666666666666669"	"RP"	"4"	"3"	"0"	"318"	"10"	"0"	"366"	"0"	"Yes"	NA	"TH"	"6"	"1"	"7"	"1"	"1"	"7"	"No"	"No"	"7"	"3"	"6"	"1"	"1"	"1"	"1"	"2"	"5"	"5"	"3"	"2"	"1"	"1"	"7"	"1"	"1"	"2"	"1"	"7"	"7"	"7"	"3"	"3"	"M"	"19"	"5"	"2"	"3.2"	"TG"	"5"	"3"	"0"	"6"	"-5"	"3"	"TG"	"1.04243667799812"	"1.03258754414855"	"913.55"	"79.505"	"952.2"	"84.44"	"903.2"	"83.55"	"932.65"	"88.985"	"NA, NA"	"Rachel, Taylor"	"Nonviolent"	"Easy"
"188"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"No"	"No"	"4"	"You wanted us to see if we got more aggressive after playing the video game. "	"TG"	"7"	"JC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6"	"1"	"6"	"1"	"1"	"6"	"No"	"No"	"7"	"7"	"7"	"5"	"5"	"5"	"1"	"6"	"6"	"7"	"4"	"3"	"3"	"3"	"6"	"4"	"5"	"7"	"5"	"5"	"2"	"7"	"2"	"4"	"M"	"18"	"6-white/hispanic"	"1"	"4"	"TG"	"2"	"-8"	"0"	"3"	"1"	"0"	"TG"	"0.975562844798291"	"0.945477982931753"	"870.05"	"82.98"	"848.25"	"71.325"	"875.55"	"89.605"	"827.8"	"78.78"	"NA, NA"	"Rachel, Taylor"	NA	NA
"189"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"No"	"No"	"3"	"So we could have variation during the experiment"	"TG"	"9"	"JC"	"1392768000"	"0.45833333333333331"	"JC"	"2"	"1"	"0"	"335"	"10"	"379"	"265"	"0"	"Yes"	NA	"TH"	"7"	"4"	"5"	"1"	"5"	"5"	"No"	"No"	"7"	"6"	"7"	"1"	"1"	"7"	"1"	"1"	"7"	"7"	"1"	"1"	"1"	"1"	"7"	"1"	"1"	"7"	"4"	"7"	"7"	"5"	"2"	"7"	"M"	"19"	"2"	"1"	"3.1970000000000001"	"TG"	"10"	"10"	"10"	"10"	"10"	"10"	"TG"	"0.991293445845302"	"1.03072145631462"	"953.7"	"89.01"	"945.4"	"85.94"	"923"	"84.685"	"951.35"	"88.525"	"NA, right hand was kinda weird, right ring was set higher in hand"	"Rachel, Taylor"	"Violent"	"Easy"
"19"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"Maybe"	"Yes"	"2"	"To see how we would respond after we judged each others essay."	"AM"	"3"	"CH"	"41545"	"0.58333333333333337"	"Mallory "	"2"	"3"	"0"	"427"	"14"	"1878"	"125"	"0"	"No"	"Slightly suspicious about using deception due to psych class"	"AM"	"7"	"1"	"4"	"4"	"1"	"7"	"No"	"No"	"7"	"6"	"7"	"1"	"1"	"1"	"1"	"1"	"7"	"7"	"1"	"1"	"1"	"1"	"7"	"1"	"7"	"4"	"1"	"7"	"7"	"4"	"3"	"6"	"M"	"19"	"2"	"2"	"3"	"AM"	"4"	"1"	"7"	"9"	"10"	"8"	"CH"	"0.992748783513024"	"0.977180191269766"	"1048.1"	"89.4"	"1040.5"	"73.18"	"1056.1"	"80.3"	"1032"	"83.83"	NA	"Julian"	"Nonviolent"	"Easy"
"190"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"Maybe"	"no"	"3"	"To see if the feedback we got effected (sic.) our decision"	"TG"	"2"	"JC"	"1393286400"	"0.125"	"JC"	"2"	"2"	"0"	"237"	"8"	"930"	"99"	"31"	"Maybe"	"Said he was suspicious that the person wasn't real after debriefing but when asked what he thought was going on before being debriefed he said he just thought that the feedback might have been intended to anger him"	"TH"	"1"	"7"	"1"	"4"	"4"	"1"	"No"	"No"	"7"	"4"	"4"	"1"	"1"	"4"	"1"	"1"	"4"	"7"	"1"	"1"	"1"	"2"	"7"	"2"	"1"	"1"	"1"	"2"	"1"	"6"	"1"	"2"	"M"	"19"	"5"	"1"	"3.5"	"TG"	"10"	"8"	"8"	"8"	"8"	"9"	"TG"	"1.03221924492788"	"1.02089673651802"	"844.65"	"80.7"	"871.8"	"83.145"	"830.45"	"82.56"	"847.8"	"84.245"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Hard"
"191"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"No"	"4"	"To see if there was a relation between my essay critique and amount of distraction given to the \"critiquer\" "	"TG"	"4"	"JC"	"1393286400"	"0.66666666666666663"	"JC"	"2"	"3"	"0"	"442"	"15"	"2057"	"138"	"0"	"Yes"	"Ian was training a pilot session and his voice was carrying during our session"	"TG"	"1"	"4"	"4"	"5"	"2"	"3"	"No"	"No"	"7"	"5"	"3"	"1"	"2"	"3"	"3"	"2"	"6"	"6"	"2"	"1"	"2"	"2"	"7"	"1"	"2"	"5"	"5"	"6"	"6"	"5"	"5"	"6"	"M"	"19"	"5"	"1"	"3.85"	"TG"	"4"	"-5"	"2"	"6"	"-1"	"3"	"TG"	"0.911945662205814"	"0.952303331041778"	"932.5"	"89.84"	"847.95"	"85.64"	"889.05"	"87.23"	"846.65"	"81.58"	"NA, NA"	"Rachel, Taylor"	"Nonviolent"	"Easy"
"192"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"No"	"No"	"4"	"To see if your partners response had any affect or punishment during the distraction test"	"TG"	"3"	"JC"	"1393286400"	"0.66666666666666663"	"HG"	"4"	"4"	"1"	"432"	"10"	"1413"	"138"	"73"	"Yes"	"Ian was training a pilot session and his voice was carrying during the session. He was convinced but suspicious if the negativity of the insults."	"TG"	"5"	"4"	"4"	"1"	"3"	"6"	"No"	"No"	"7"	"4"	"5"	"5"	"2"	"2"	"3"	"4"	"4"	"6"	"3"	"2"	"3"	"5"	"6"	"1"	"5"	"5"	"4"	"7"	"7"	"7"	"5"	"5"	"M"	"18"	"5"	"1"	"3"	"TG"	"3"	"2"	"4"	"5"	"3"	"5"	"TG"	"1.00753674636169"	"1.00248498285496"	"810.8"	"84.09"	"816.75"	"86.84"	"810.2"	"85.365"	"812.2"	"88.9"	"NA, NA"	"Rachel, Taylor"	"Nonviolent"	"Hard"
"193"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"Maybe"	"no"	"4"	"Depending on how the essay was graded we would probably decide how long the distractionwas. So if they gave a bad review it would cause a longer distraction"	"TG"	"4"	"JC"	"1393286400"	"0.76041666666666663"	"MB"	"2"	"1"	"0"	"410"	"14"	"1865"	"86"	"0"	"Yes"	"Bridge was locked"	"TG"	"3"	"3"	"3"	"2"	"2"	"4"	"No"	"No"	"7"	"3"	"5"	"1"	"1"	"7"	"1"	"1"	"6"	"6"	"1"	"1"	"1"	"1"	"7"	"1"	"5"	"5"	"2"	"5"	"5"	"2"	"2"	"5"	"M"	"18"	"5"	"1"	"3.5"	"TG"	"2"	"-5"	"4"	"6"	"1"	"2"	"TG"	"0.955748146903161"	"0.963708221242921"	"907.05"	"85.355"	"866.9"	"88.48"	"916.9"	"79.16"	"883.6"	"85.23"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Easy"
"194"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"Yes"	"2"	"Based on their review of our essay we would assign  more/less distraction "	"TG"	"9"	"JC"	"1393286400"	"0.80208333333333337"	"DT"	"4"	"2"	"4"	"347"	"8"	"1259"	"124"	"107"	"Yes"	"Water was not cold, Fridge was locked! Didn't know what we were investigating in study"	"TG"	"4"	"4"	"5"	"1"	"2"	"5"	"No"	"No"	"6"	"6"	"6"	"4"	"2"	"6"	"2"	"4"	"3"	"5"	"2"	"2"	"4"	"2"	"6"	"2"	"1"	"4"	"6"	"7"	"7"	"4"	"6"	"7"	"M"	"21"	"5"	"3"	"3.18"	"TG"	"1"	"0"	"2"	"1"	"5"	"3"	"TG"	"1.00579265259374"	"1.02501611359366"	"863.3"	"81.14"	"868.3"	"85.835"	"842.2"	"83.08"	"863.3"	"86.355"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Hard"
"195"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"Maybe"	"no"	"4"	"Level of anger"	"TG"	"4"	"JC"	"1393286400"	"0.80208333333333337"	"MB"	"2"	"3"	"0"	"522"	"17"	"2655"	"93"	"0"	"Maybe"	"Was suspicious that we tried to upset him"	"TG"	"5"	"2"	"4"	"3"	"2"	"5"	"No"	"No"	"6"	"5"	"5"	"2"	"2"	"1"	"1"	"3"	"5"	"5"	"5"	"2"	"1"	"1"	"4"	"2"	"1"	"5"	"2"	"5"	"5"	"2"	"3"	"4"	"M"	"18"	"5"	"1"	"4"	"TG"	"3"	"1"	"3"	"4"	"4"	"5"	"TG"	"0.905708350067009"	"0.920809339689871"	"891.3"	"85.105"	"807.25"	"87.555"	"884.55"	"83.02"	"814.5"	"89.65"	"NA, NA"	"Rachel, Taylor"	"Nonviolent"	"Easy"
"196"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"No"	"Maybe"	"1"	"To see our reaction based on the grading of our essay"	"TG"	"5"	"JC"	"1393372800"	"0.45833333333333331"	"JC"	"2"	"4"	"0"	"243"	"9"	"1080"	"84"	"41"	"No"	"Said he was suspicious when he got the distraction assignment and didn’t know if his partner was real or not so he picked the middle distraction time"	"TG"	"7"	"1"	"4"	"1"	"1"	"5"	"No"	"No"	"7"	"5"	"3"	"1"	"1"	"1"	"1"	"1"	"4"	"7"	"1"	"1"	"5"	"1"	"7"	"1"	"1"	"5"	"7"	"7"	"5"	"5"	"7"	"7"	"M"	"21"	"5"	"3"	"2.8"	"TG"	"7"	"5"	"5"	"8"	"5"	"6"	"TG"	"0.911850850064118"	"0.935521581545666"	"991.7"	"85.4"	"904.3"	"88.48"	"987.35"	"82.785"	"923.75"	"87.705"	"NA, right hand index unclear"	"Rachel, Taylor"	"Nonviolent"	"Hard"
"197"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"Maybe"	"no"	"2"	"For after the partner elation (sic), get long time for distraction, when low alvation (sic)"	"TG"	"2"	"JC"	"1393804800"	"0.50347222222222221"	"AM"	"4"	"1"	"0"	"460"	"15"	"234"	"353"	"0"	"Yes"	"*-other paricipant did not show up- Curt did hand soon as contacted. Needed extra time for writing task- did not seem to have good english skills. I gave him a little extra time to read the directions- about 2 min. - \"ice water cold!' - When I said we were out of time, he said \"good- no ice water.\" * Thought hand scan was weird star on top of paper"	"TG"	"4"	"3"	"1"	"5"	"4"	"5"	"No"	"No"	"7"	"4"	"4"	"1"	"1"	"5"	"1"	"3"	"5"	"3"	"1"	"2"	"3"	"2"	"6"	"4"	"6"	"5"	"4"	"7"	"6"	"7"	"4"	"5"	"M"	"20"	"6-asian"	"2"	"3"	"TG"	NA	NA	NA	NA	NA	NA	NA	"0.992959168986861"	"1.01471006157075"	"886.85"	"82.875"	"880.6"	"89.185"	"873.55"	"78.995"	"886.4"	"87.48"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Easy"
"198"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"5"	"To see how much time we would assign based on how \"mad\" we were at the other person's score of us."	"TG"	"3"	"JC"	"1393804800"	"0.54513888888888895"	"HG"	"2"	"2"	"3"	"305"	"4"	"1356"	"65"	"107"	"Maybe"	"Participants knew each other. When asked if anything seemed off, the participant suspected the response was fake and used to increase aggression. Subject alos noted that the handwritting on the evaluation was different from the essay, so he thought he had it figured out."	"TG"	"1"	"1"	"1"	"1"	"1"	"1"	"Yes"	"Yes"	"4"	"5"	"5"	"6"	"3"	"6"	"1"	"2"	"6"	"6"	"4"	"5"	"6"	"3"	"2"	"4"	"4"	"5"	"2"	"7"	"4"	"2"	"1"	"1"	"M"	"19"	"5"	"1"	"4"	"TG"	"4"	"0"	"-1"	"7"	"1"	"0"	"TG"	"0.946582284879866"	"0.931165723153443"	"987.55"	"86.75"	"934.8"	"88.62"	"986.2"	"85.405"	"918.3"	"87.63"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Hard"
"199"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"Maybe"	"maybe"	"5"	"To relate any agression (from the game) with a dvisive reaction to the other person's argument. Teir assignment time is probably related to that agression"	"TG"	"4"	"JC"	"1393804800"	"0.54513888888888895"	"AM "	"4"	"2"	"0"	"356"	"11"	"1110"	"136"	"62"	"Maybe"	"*Distraction Later?* Is in a FIG with other participant. Said, \"If his view is not pro-chice, this is going to be awkward.\" had to tell participant quietly to wrap it up on the comments section of the essay eval. Evey time I went back into the room he clicking around and opening things on the computer. Seemedreally distraught when his \"partner\" gave him the negitive feedback. Said he didn't want to walk back to the dorm with him. When I got to 15b- he said, \"but we didn't even finish the study, so how should I be able to answer?\""	"TG"	"5"	"3"	"4"	"1"	"2"	"5"	"Yes"	"Yes"	"6"	"6"	"6"	"5"	"2"	"4"	"1"	"6"	"6"	"5"	"3"	"5"	"1"	"4"	"7"	"2"	"2"	"6"	"3"	"5"	"4"	"5"	"4"	"6"	"M"	"18"	"5"	"1"	"3.85"	"TG"	"5"	"0"	"3"	"4"	"-1"	"2"	"TG"	"0.960944178020925"	"0.962490137216042"	"883.05"	"89.445"	"848.55"	"84.08"	"869.2"	"88.815"	"836.6"	"89.18"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Hard"
"2"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"No"	"No"	"4"	"Basically to see if we would be leanient or hard on our partners and knowing that our partners may not feel the same way toward us"	"AM"	"5"	"CH"	"41541"	"0.70833333333333337"	"Mallory "	"2"	"2"	"3"	"193"	"3"	"896"	"33"	"95"	"Yes"	NA	"AM"	"1"	"4"	"1"	"1"	"7"	"1"	"No"	"No"	"2"	"1"	"7"	"6"	"5"	"7"	"3"	"7"	"2"	"1"	"7"	"7"	"7"	"7"	"6"	"6"	"4"	"1"	"5"	"7"	"4"	"1"	"3"	"3"	"M"	"19"	"2"	"2"	"2.5"	"AM"	NA	NA	NA	NA	NA	NA	NA	"0.920226130653266"	"0.899063689680008"	"955.2"	"88.98"	"879"	"76.58"	"971.9"	"87.52"	"873.8"	"74.74"	NA	"Julian"	"Violent"	"Hard"
"2/4a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3"	"10"	"2"	"10"	"0"	"3"	"CH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2/4b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0"	"8"	"10"	"10"	"10"	"8"	"CH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"No"	"Yes"	"5"	"To see if the essay of our partner changed ou mood or look on them in a negative way and if the video game aggresion increased it"	"AM"	"2"	"CH"	"41545"	"0.58333333333333337"	"JH"	"4"	"4"	"2"	"332"	"7"	"1405"	"107"	"65"	"Maybe"	"Quite surprised re: essay but distraction assignment was obviously from Psych 101"	"AM"	"6"	"4"	"3"	"4"	"4"	"5"	"No"	"No"	"7"	"7"	"7"	"6"	"5"	"3"	"1"	"7"	"6"	"6"	"1"	"5"	"1"	"3"	"7"	"2"	"4"	"7"	"7"	"7"	"5"	"7"	"7"	"7"	"M"	"18"	"5"	"1"	"3.7"	"AM"	"6"	"1"	"4"	"9"	"6"	"4"	"CH"	"1.01837655016911"	"1.00941281936351"	"887"	"89.48"	"903.3"	"82.24"	"892.4"	"88.33"	"900.8"	"84.71"	NA	"Julian"	"Nonviolent"	"Hard"
"200"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"Maybe"	"no"	"3"	"To see if the other's response to our paper would rasie our aggresion "	"TG"	"9"	"JC"	"1393891200"	"0.625"	"JC"	"2"	"4"	"4"	"279"	"6"	"916"	"148"	"95"	"Maybe"	"When I asked what he thought we were trying to measure he said \"Maybe aggression and something to do with essay feedback\". Seemed convinced his partner was readl, though"	"TG"	"6"	"2"	"5"	"2"	"2"	"6"	"No"	"No"	"6"	"5"	"5"	"4"	"3"	"3"	"3"	"3"	"2"	"2"	"4"	"5"	"2"	"2"	"5"	"4"	"5"	"4"	"5"	"7"	"7"	"6"	"6"	"7"	"M"	"18"	"5"	"1"	"3"	"TG"	"5"	"3"	"5"	"4"	"0"	"3"	"TG"	"0.987910044794256"	"0.964356226875033"	"913.5"	"89.75"	"902.45"	"86.29"	"911.65"	"83.07"	"879.15"	"89.055"	"NA, NA"	"Rachel, Taylor"	"Nonviolent"	"Hard"
"201"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"No"	"No"	"4"	"To judge our reaction to our partner's essay evaluation"	"TG"	"5"	"JC"	"1393891200"	"3:00PM"	"RP"	"2"	"1"	"0"	"351"	"12"	"1041"	"144"	"0"	"Yes"	NA	"TG"	"6"	"2"	"4"	"1"	"2"	"6"	"No"	"No"	"7"	"4"	"5"	"1"	"1"	"5"	"1"	"5"	"6"	"5"	"2"	"1"	"1"	"2"	"6"	"1"	"6"	"5"	"4"	"6"	"5"	"7"	"3"	"4"	"M"	"19"	"5"	"3"	"3.78"	"TG"	"6"	"1"	"7"	"8"	"-5"	"-2"	"TG"	"0.983905474616119"	"0.979752456890728"	"857.45"	"88.165"	"843.65"	"82.785"	"857.55"	"87.96"	"840.2"	"89.52"	"NA, NA"	"Rachel, Taylor"	"Violent"	"Easy"
